"src_id","dst_id","weight","avg_time_gap"
"36603","2","1","17.0"
"36768","2","1","36.0"
"37273","2","2","24.5"
"37617","2","1","33.0"
"37619","2","1","33.0"
"37642","2","1","40.0"
"38136","2","1","35.0"
"38285","2","1","25.0"
"38286","2","1","25.0"
"38663","2","1","45.0"
"39182","2","1","35.0"
"39309","2","1","46.0"
"39810","2","1","10.0"
"40119","2","1","38.0"
"40366","2","1","24.0"
"40543","2","1","40.0"
"40715","2","1","24.0"
"40773","2","1","16.0"
"41573","2","1","28.0"
"41652","2","1","3.0"
"42100","2","1","27.0"
"42295","2","1","36.0"
"42557","2","1","38.0"
"43606","2","1","38.0"
"43764","2","1","28.0"
"43868","2","1","32.0"
"43968","2","1","15.0"
"44278","2","1","38.0"
"44897","2","1","35.0"
"44971","2","1","25.0"
"44985","2","1","37.0"
"45203","2","1","32.0"
"45673","2","1","30.0"
"46159","2","1","30.0"
"46541","2","1","35.0"
"46756","2","1","26.0"
"47590","2","1","25.0"
"47802","2","1","11.0"
"48512","2","1","38.0"
"48514","2","2","31.5"
"48762","2","1","30.0"
"49035","2","2","34.0"
"49064","2","1","33.0"
"49838","2","1","38.0"
"50309","2","1","43.0"
"50376","2","1","38.0"
"50463","2","1","35.0"
"51133","2","1","36.0"
"53677","2","1","0.0"
"54542","2","1","28.0"
"55416","2","1","25.0"
"55738","2","1","17.0"
"56302","2","4","34.25"
"56569","2","1","39.0"
"56789","2","1","12.0"
"56806","2","1","40.0"
"56842","2","1","42.0"
"56844","2","1","29.0"
"56853","2","1","9.0"
"56854","2","1","9.0"
"57490","2","1","34.0"
"57638","2","1","33.0"
"58004","2","1","35.0"
"58043","2","1","36.0"
"58204","2","1","39.0"
"58714","2","1","38.0"
"58865","2","1","37.0"
"60004","2","1","46.0"
"60589","2","1","40.0"
"60660","2","1","35.0"
"60687","2","2","22.5"
"61328","2","1","39.0"
"61804","2","12","31.5"
"61805","2","1","38.0"
"61815","2","1","27.0"
"61816","2","1","4.0"
"61887","2","1","19.0"
"62265","2","1","41.0"
"62406","2","1","19.0"
"62588","2","1","36.0"
"62906","2","1","32.0"
"63214","2","1","44.0"
"63261","2","1","26.0"
"64814","2","1","43.0"
"65108","2","1","36.0"
"66058","2","1","41.0"
"66274","2","1","41.0"
"66275","2","1","41.0"
"66368","2","1","36.0"
"66513","2","1","19.0"
"67920","2","1","20.0"
"68382","2","1","34.0"
"68452","2","1","42.0"
"68484","2","1","42.0"
"68563","2","8","44.0"
"68581","2","1","24.0"
"69199","2","1","11.0"
"70311","2","1","31.0"
"70556","2","1","14.0"
"70702","2","1","17.0"
"71898","2","1","23.0"
"72577","2","2","37.5"
"72640","2","4","21.75"
"73042","2","1","14.0"
"73102","2","1","14.0"
"74838","2","1","44.0"
"74982","2","1","7.0"
"75321","2","1","12.0"
"75631","2","1","34.0"
"76159","2","2","17.0"
"76392","2","1","9.0"
"76557","2","1","27.0"
"77161","2","1","7.0"
"77382","2","1","23.0"
"77954","2","1","29.0"
"78116","2","1","41.0"
"78176","2","1","32.0"
"78569","2","1","37.0"
"78640","2","2","18.0"
"79618","2","1","14.0"
"80095","2","1","5.0"
"80118","2","1","0.0"
"80124","2","1","32.0"
"80129","2","1","45.0"
"80143","2","1","25.0"
"80148","2","1","43.0"
"80188","2","6","43.33333333333333"
"80597","2","1","18.0"
"80598","2","1","18.0"
"80819","2","1","45.0"
"80893","2","1","28.0"
"80935","2","2","3.0"
